City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jamestown,US,74.79,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Suez,EG,79.79,clear sky,29.9737,32.5263,Green House
8,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
9,Nisia Floresta,BR,75.58,light rain,-6.0911,-35.2086,Rancho Crepusculo
10,Albany,US,79.21,few clouds,42.6001,-73.9662,
11,San Juan De Uraba,CO,76.14,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
13,Tautira,PF,75.42,light rain,-17.7333,-149.15,Pension Oaoa
19,Ende,ID,81.41,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
21,Katsuura,JP,80.47,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
22,Rikitea,PF,73.62,light rain,-23.1203,-134.9692,People ThankYou
23,Vao,NC,74.59,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
28,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
35,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
38,Nkhotakota,MW,71.98,clear sky,-12.9274,34.2961,Sitima Inn
44,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
47,Meridian,US,83.25,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
48,Lorengau,PG,83.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
49,Butaritari,KI,80.13,light rain,3.0707,172.7902,Isles Sunset Lodge
54,Shimoda,JP,82.76,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
56,Bonfim,BR,72.63,broken clouds,3.0833,-59.95,
58,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
61,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
63,Cape Canaveral,US,81.99,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
66,Kiunga,PG,78.98,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
67,Ribeira Grande,PT,72.37,clear sky,38.5167,-28.7,Quinta da Meia Eira
70,Maragogi,BR,73.47,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
71,Andros Town,BS,82.36,few clouds,24.7,-77.7667,Hanks place
72,Camaiore,IT,83.23,clear sky,43.9097,10.2419,Eros
76,Bambous Virieux,MU,74.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
77,Barcelona,ES,80.33,clear sky,41.3888,2.159,Axel Hotel Barcelona
79,Tura,IN,82.98,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
82,Piacabucu,BR,72.59,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
86,Bitung,ID,81.45,scattered clouds,1.4451,125.1824,K2 Lembeh
87,Arraial Do Cabo,BR,70.02,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Thinadhoo,MV,80.08,overcast clouds,0.5333,72.9333,
94,Gat,IL,80.78,clear sky,31.61,34.7642,OlusHome
95,Pandan,PH,88.09,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
96,Port Blair,IN,84.24,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
97,Lenine,UA,71.26,light rain,45.2986,35.7771,Vostok
98,Xam Nua,LA,77.5,heavy intensity rain,20.4197,104.0439,Xee Wang Guesthouse
99,Samarai,PG,82.96,few clouds,-10.6167,150.6667,Nuli Sapi
100,Catia La Mar,VE,75.4,drizzle,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
101,Vila Franca Do Campo,PT,74.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
106,Saint-Philippe,RE,72.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
109,Kapaa,US,80.19,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
110,Puerto Santander,CO,83.61,broken clouds,8.3636,-72.4063,Hotel Toronto
111,Douentza,ML,79.77,broken clouds,14.9951,-2.9517,Ogomono Doumbo
114,Aguimes,ES,77.63,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
115,Canchungo,GW,75.33,overcast clouds,12.0672,-16.0333,Aparthotel Napalach
119,Along,IN,79.03,overcast clouds,28.1667,94.7667,Hotel West
126,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
127,Kavaratti,IN,81.07,overcast clouds,10.5669,72.642,Green leaf
129,Atuona,PF,77.58,few clouds,-9.8,-139.0333,Villa Enata
131,Bumba,CD,73.04,overcast clouds,2.1833,22.4667,Père Carlos
132,Ozark,US,81.01,clear sky,37.0209,-93.206,Days Inn by Wyndham Ozark Springfield
133,Nizwa,OM,88.88,scattered clouds,22.9333,57.5333,Orient Apartments
134,Faya,SA,70.32,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
135,Omboue,GA,71.6,overcast clouds,-1.5746,9.2618,Hotel Olako
138,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
142,Kochubey,RU,76.73,overcast clouds,44.3861,46.5825,Europa
149,Dingle,PH,87.58,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
152,Asau,RO,70.72,clear sky,46.4333,26.4,Casa Mika Ciobanus
153,Bethel,US,79.16,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
154,Marzuq,YE,81.61,broken clouds,14.4,46.4667,
155,Springfield,US,76.66,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
156,Sulangan,PH,85.62,overcast clouds,11.1373,123.7228,Maia's Beach Resort
157,Hithadhoo,MV,80.83,overcast clouds,-0.6,73.0833,Scoop Guest House
158,Saint Anthony,US,76.93,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
159,Tres Picos,MX,78.01,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
160,Nikolskoye,RU,70.88,clear sky,59.7035,30.7861,Tourist House - Sablino
164,Abu Samrah,SY,83.66,clear sky,35.3029,37.1841,
167,Bria,CF,70.65,broken clouds,6.5423,21.9863,WFP Guesthouse
172,Bowen,AU,70.57,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
173,Galbshtadt,RU,79.52,clear sky,53.2264,78.9845,"Гостевой домик ""Deutscher Hof"""
174,El Rosario,MX,82.56,broken clouds,24.2556,-107.1828,Mi casa
180,Vaitape,PF,77.4,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
181,Marigot,MF,81.05,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
183,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
184,Dudestii Vechi,RO,82.6,scattered clouds,46.05,20.4833,
185,Pringsewu,ID,88.72,broken clouds,-5.3582,104.9744,Urban Style by Front One
187,Marawi,PH,78.44,overcast clouds,7.9986,124.2928,Derogongan Residence
188,Fallon,US,84.92,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
190,Isangel,VU,77.22,broken clouds,-19.55,169.2667,Tanna Lodge
193,Polessk,RU,73.96,clear sky,54.862,21.1028,Vocation House
194,Laguna,US,80.4,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
199,North Platte,US,79.12,few clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
200,Behshahr,IR,84.15,broken clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
201,Youkounkoun,GN,72.95,light rain,12.5333,-13.1333,
203,Koungheul,SN,78.08,light rain,13.9833,-14.8,Statation petrodis
204,Baker City,US,71.64,clear sky,44.7749,-117.8344,Bridge Street Inn
205,Oranjestad,AW,80.33,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
207,Teknaf,BD,86.56,overcast clouds,20.8624,92.3058,Forestry Guesthouse
209,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
210,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
211,Lithakia,GR,76.37,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
212,Kahului,US,73.98,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
217,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
218,Preobrazheniye,RU,70.47,overcast clouds,42.9019,133.9064,Campsite Orlan
221,Tonj,SS,74.43,overcast clouds,7.2737,28.6822,Lakan Hotel
223,Bukama,CD,75.54,broken clouds,-9.2,25.85,
228,Boyolangu,ID,79.75,broken clouds,-8.1181,111.8935,Yos ega cv
230,Beeskow,DE,79.09,broken clouds,52.1667,14.25,AWO Jugend- und Erlebnishof Beeskow
235,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
237,Komadi,HU,76.95,clear sky,47.0,21.5,GR Vadász Panzió
239,Cuiluan,CN,84.9,scattered clouds,47.72,128.648,Shuncheng Hotel
240,Ilovlya,RU,71.44,light rain,49.3033,43.9796,"Tri Sosny, Baza Otdykha"
244,Biak,ID,81.45,few clouds,-0.9131,122.8766,Penginapan Kim
245,Sabha,LY,79.39,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
246,Chaoyang,CN,75.2,light rain,41.5703,120.4586,Chaoyang Genting International Hotel
249,Muana,BR,74.5,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
251,Xingcheng,CN,78.06,scattered clouds,40.6167,120.7167,New Century Hotel
252,Grand-Lahou,CI,73.29,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
253,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
256,Buala,SB,83.43,light rain,-8.145,159.5921,Maringe Lagoon Lodge
257,Mastic Beach,US,79.05,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
260,Kidal,ML,82.47,overcast clouds,18.4411,1.4078,
261,Chara,RU,75.67,light rain,56.9064,118.2631,
262,Sao Filipe,CV,75.85,scattered clouds,14.8961,-24.4956,Hotel Xaguate
263,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
266,Atar,MR,79.38,scattered clouds,20.5169,-13.0499,Oumou Elghoura
267,Lambarene,GA,71.46,overcast clouds,-0.7001,10.2406,Le Refuge
271,Miyako,JP,76.8,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
272,Sterling,US,82.15,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
273,Anori,BR,76.1,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
274,Roebourne,AU,81.5,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
277,Tessalit,ML,81.46,scattered clouds,20.1986,1.0114,
278,Uarini,BR,72.23,overcast clouds,-2.99,-65.1083,
280,Mahemdavad,IN,86.25,broken clouds,22.8333,72.7667,Shalvi Infracon pvt ltd Grass court Greens
282,Ulaangom,MN,76.24,few clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
284,Lahaina,US,73.96,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
286,Amga,RU,82.74,overcast clouds,60.8953,131.9608,Algys
288,Road Town,VG,82.17,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
290,Rovinj,HR,81.09,clear sky,45.08,13.64,Hotel Monte Mulini
292,Ust-Nera,RU,70.66,overcast clouds,64.5667,143.2,Hotel Ust-Nera
296,Hargeysa,SO,71.31,broken clouds,9.56,44.065,City Center Hotel
299,Patan,NP,79.18,moderate rain,27.6667,85.3333,Hotel Himalaya
300,Laredo,US,83.3,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
302,Akyab,MM,85.71,overcast clouds,20.15,92.9,Hotel Memory
305,Usogorsk,RU,75.99,scattered clouds,63.4106,48.6872,"""Dom Invest - Kvartiry Posutochno"""
310,Bontang,ID,84.51,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
313,Arlit,NE,88.65,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
314,Yumen,CN,76.17,clear sky,40.2833,97.2,
317,Barabai,ID,90.0,scattered clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
318,Marsh Harbour,BS,82.29,clear sky,26.5412,-77.0636,Abaco Beach Resort
321,Marienburg,PL,75.87,clear sky,54.0359,19.0266,Hotel Centrum Malbork
322,Waingapu,ID,83.61,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
324,Sedalia,US,74.43,clear sky,38.7045,-93.2283,Best Western State Fair Inn
326,Alghero,IT,81.99,clear sky,40.5589,8.3181,Smy Carlos V Alghero
328,Gunjur,GM,75.27,light rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
329,Avera,US,75.25,overcast clouds,33.194,-82.5271,
337,Bagdarin,RU,71.01,broken clouds,54.4333,113.6,Gostevoy Dom Terem
339,Sheridan,US,73.31,clear sky,44.8333,-106.9173,Comfort Inn & Suites
340,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
341,Korla,CN,81.14,clear sky,41.7597,86.1469,Gulisitan Hotel
342,Adrar,MR,82.87,broken clouds,20.5022,-10.0711,
350,Carutapera,BR,74.37,scattered clouds,-1.195,-46.02,Lidera
352,Bhuj,IN,87.15,overcast clouds,23.2667,69.6667,Regenta Resort Bhuj
354,Khilok,RU,79.54,broken clouds,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
355,Itarema,BR,71.62,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
356,Ewa Beach,US,79.99,scattered clouds,21.3156,-158.0072,Base Lodging
358,Ponta Delgada,PT,74.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
360,Namatanai,PG,82.98,light rain,-3.6667,152.4333,Seagulls Inn Namatani
366,Luganville,VU,80.46,few clouds,-15.5333,167.1667,The Espiritu Hotel
368,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Novotel Dakar
369,Ambanja,MG,75.13,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
371,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
374,Galbenu,RO,77.72,clear sky,45.2167,27.1667,
375,Hobyo,SO,80.31,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
376,Mahebourg,MU,74.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
377,Hailar,CN,87.49,few clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
378,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
383,Moroni,KM,77.0,few clouds,-11.7022,43.2551,Hotel Les Arcades
384,Kudahuvadhoo,MV,81.34,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
386,Male,MV,76.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
387,Kontagora,NG,71.42,light rain,10.3999,5.4695,Queens Guest Inn
389,Baruun-Urt,MN,87.31,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
390,Kichera,RU,71.89,broken clouds,55.9375,110.0997,
393,Samana,DO,78.84,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
394,Labuhan,ID,87.46,few clouds,-6.8844,112.2051,DoubleFAG
396,Asfi,MA,72.18,broken clouds,32.2994,-9.2372,Hôtel Abda
400,Amahai,ID,79.61,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
401,Sungaipenuh,ID,76.24,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
402,Chubbuck,US,75.63,few clouds,42.9208,-112.4661,Quality Inn
404,Lahij,YE,84.34,overcast clouds,13.1667,44.5833,
405,Padang,ID,86.05,light rain,-0.9492,100.3543,Mercure Padang
